city,country,Temperature,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind_speed
Outreau,FR,2.66,4.71,0.71,75,1037,Clouds,08:44 AM,05:24 PM,8.3
Orvault,FR,3.19,3.94,2.59,82,1036,Clear,08:45 AM,05:49 PM,4.12
Arrondissement de Metz,FR,1.26,2.68,-0.55,86,1032,Clear,08:20 AM,05:11 PM,3.6
Maurepas,FR,2.71,3.67,1.53,86,1035,Clouds,08:36 AM,05:30 PM,0.89
Laon,FR,1.68,1.68,1.68,91,1035,Clouds,08:32 AM,05:20 PM,3.13
La Crau,FR,6.35,6.94,4.12,54,1019,Clear,08:01 AM,05:31 PM,0.89
La Courneuve,FR,3.65,4.54,2.4,85,1036,Clouds,08:34 AM,05:27 PM,0.89
Gentilly,FR,3.47,4.25,2.11,85,1035,Clouds,08:34 AM,05:28 PM,3.58
Garches,FR,2.87,3.73,1.59,85,1035,Clouds,08:35 AM,05:28 PM,3.58
Croix,FR,2.08,3.84,1.07,84,1035,Clouds,08:38 AM,05:18 PM,3.09
Couëron,FR,3.3,4.01,2.66,81,1036,Clear,08:45 AM,05:50 PM,4.12
Cernay,FR,-0.77,0.29,-2.06,86,1032,Clouds,08:11 AM,05:12 PM,1.3
Montussan,FR,2.72,3.24,1.78,88,1033,Clouds,08:32 AM,05:52 PM,2.95
Saint-Laurent,FR,0.36,1.59,0.36,89,1034,Clouds,08:28 AM,05:15 PM,2.43
Saint-Bris-le-Vineux,FR,0.07,0.64,0.07,94,1034,Clear,08:25 AM,05:26 PM,2.83
Garanou,FR,3.23,4.85,0.02,38,1027,Clouds,08:17 AM,05:49 PM,2.68
Provence-Alpes-Côte d'Azur Region,FR,-0.79,2.04,-0.79,82,1021,Clouds,08:04 AM,05:29 PM,3.36
Var,FR,4.03,5.72,1.5,65,1019,Clear,08:01 AM,05:29 PM,2.57
Arrondissement de Narbonne,FR,5.19,6.85,3.11,61,1027,Clear,08:14 AM,05:44 PM,7.65
Carbonne,FR,3.96,4.88,2.6,98,1029,Clouds,08:21 AM,05:50 PM,1.79
Carbonne,FR,3.89,4.8,2.52,98,1029,Clouds,08:21 AM,05:50 PM,1.79
Arrondissement de Marseille,FR,3.29,4.95,2.69,66,1019,Clear,08:04 AM,05:33 PM,3.82
Saint-Pierre,FR,5.61,6.3,5.09,61,1020,Clear,08:06 AM,05:34 PM,5.14
Ilharre,FR,6.18,7.55,4.15,94,1032,Clouds,08:30 AM,05:59 PM,2.78
Les Mées,FR,1.3,1.3,1.3,82,1021,Clouds,08:04 AM,05:29 PM,3.32
Castelsarrasin,FR,3.11,3.82,2.91,88,1031,Clear,08:24 AM,05:48 PM,3.37
Vallabrix,FR,5.11,5.91,3.99,62,1023,Clear,08:10 AM,05:34 PM,10.63
Lussolle,FR,2.69,6.93,1.9,93,1032,Clouds,08:29 AM,05:53 PM,2.24
Pontenx-les-Forges,FR,4.78,7.51,1.77,77,1033,Clouds,08:33 AM,05:56 PM,2.91
Pontenx-les-Forges,FR,4.99,7.58,1.85,77,1033,Clouds,08:33 AM,05:56 PM,2.94
Saint-Trosse,FR,4.2,7.41,1.68,79,1033,Clouds,08:33 AM,05:56 PM,2.72
Arrondissement de Périgueux,FR,1.56,3.31,-0.17,85,1030,Clear,08:29 AM,05:47 PM,2.34
Arrondissement de La Tour-du-Pin,FR,1.42,2.39,0.64,94,1029,Clouds,08:11 AM,05:26 PM,3.68
Four,FR,2.09,2.98,1.23,87,1029,Clouds,08:12 AM,05:27 PM,7.2
Corent,FR,2.63,2.63,2.63,87,1031,Clouds,08:20 AM,05:35 PM,4.63
